title,release_date,platforms,genres
.kkrieger,2004-01-01,Microsoft Windows,"action game, first-person shooter, science fiction video game"
0 A.D.,2021-02-21,"Berkeley Software Distribution, Microsoft Windows, macOS","historical video game, real-time strategy"
007 Legends,2012-10-16,"Microsoft Windows, PlayStation 3, Wii U, Xbox One",first-person shooter
007: Licence to Kill,1989-04-20,"Amstrad CPC, Atari ST, BBC Micro, Commodore 64, DOS, MSX, ZX Spectrum",shoot 'em up
007: Quantum of Solace,2008-10-31,"Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, Wii, Xbox One","first-person shooter, third-person shooter"
1080° Snowboarding,1998-02-28,"Nintendo 64, Wii U",snowboarding video game
10th Frame,1986-01-01,"Amstrad CPC, Commodore 64, DOS, MSX, ZX Spectrum","bowling video game, sports video game"
11eyes: Tsumi to Batsu to Aganai no Shōjo,2008-04-25,"Microsoft Windows, PlayStation Portable, Xbox One","Chuunige, eroge, urban fantasy video game, visual novel"
12Riven: The Psi-Climinal of Integral,2008-03-13,"Microsoft Windows, PlayStation 4, iOS",visual novel
18 Wheeler: American Pro Trucker,2000-10-12,"Nintendo GameCube, PlayStation 4, arcade video game",racing video game
18 Wheels of Steel: Haulin',2006-09-01,Microsoft Windows,truck simulation video game
1848,2006-01-01,Microsoft Windows,Unknown
1869,1992-01-01,DOS,"strategy video game, trade simulation game"
19 Part One: Boot Camp,1988-01-01,"Commodore 64, ZX Spectrum",military education and training
1941: Counter Attack,1990-01-01,"PC Engine SuperGrafx, TurboGrafx-16, arcade video game","arcade, shoot 'em up"
1943: The Battle of Midway,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, Nintendo Entertainment System, PlayStation 3, TurboGrafx-16, ZX Spectrum, arcade video game",shoot 'em up
2006 FIFA World Cup,2006-04-24,"Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 4, PlayStation Portable, Xbox One",association football video game
2010 FIFA World Cup South Africa,2007-04-19,"PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One, iOS",association football video game
2020 Super Baseball,1993-03-12,"Neo Geo, Neo Geo CD, PlayStation, Super Nintendo Entertainment System",sports video game
24: The Game,2006-02-28,PlayStation 4,third-person shooter
25 to Life,2006-01-17,"Microsoft Windows, PlayStation 4",third-person shooter
2Xtreme,1996-10-31,"PlayStation 2, PlayStation Portable",racing video game
3 Count Bout,1993-04-23,"Neo Geo, arcade video game","fighting game, sports video game"
3 Ninjas Kick Back,1994-06-01,"PlayStation, Super Nintendo Entertainment System",beat 'em up
3 Skulls of the Toltecs,1996-01-01,"DOS, Microsoft Windows",point-and-click adventure
3-D Monster Chase,1984-01-01,"Amstrad CPC, ZX Spectrum",maze video game
3-D Tic-Tac-Toe,1980-01-01,"Atari 2600, Atari 8-bit family",strategy video game
3D Construction Kit,1991-06-01,"Acorn Archimedes, Amstrad CPC, Atari ST, Commodore 128, Commodore 64, DOS, ZX Spectrum","3D computer graphics software, game creation system, graphics software"
3D Dot Game Heroes,2009-11-05,PlayStation 3,"action role-playing game, action-adventure game"
3D Knockout,1984-01-01,MSX,boxing video game
3D Monster Maze,1982-01-01,Sinclair ZX81,"maze video game, survival horror"
3D Movie Maker,,Microsoft Windows,Unknown
3D Tanx,1982-01-01,"BBC Micro, Commodore 64, ZX Spectrum",shoot 'em up
3D Tunnel,1983-01-01,"Commodore 64, ZX Spectrum",shoot 'em up
3DDX,,arcade video game,"fitness video game, music video game"
3Xtreme,1999-04-21,PlayStation 2,racing video game
3rd Super Robot Wars Alpha: To the End of the Galaxy,2005-07-28,PlayStation 4,tactical role-playing game
4 Soccer Simulators,1988-01-01,"Amstrad CPC, Commodore 64, ZX Spectrum",association football video game
428: Shibuya Scramble,2008-12-04,"Microsoft Windows, PlayStation 3, PlayStation Portable, Wii, iOS","adventure video game, visual novel"
4Story,2008-10-01,Microsoft Windows,role-playing video game
4x4 EVO 2,2001-10-30,"Classic Mac OS, Microsoft Windows, Nintendo GameCube, PlayStation 4",racing video game
4x4 Off-Road Racing,1988-01-01,"Amstrad CPC, Commodore 64, DOS, MSX, ZX Spectrum",racing video game
64 Hanafuda: Tenshi no Yakusoku,1999-11-05,Nintendo 64,puzzle video game
688 Attack Sub,1989-01-01,"DOS, NEC PC-9800 series, PlayStation",submarine simulator
7 Sins,2005-05-27,"Microsoft Windows, PlayStation 4",life simulation game
720°,1986-12-01,"Amstrad CPC, Atari System 2, Commodore 64, Game Boy Color, Nintendo Entertainment System, ZX Spectrum","action game, skateboarding video game"
750cc Grand Prix,1989-01-01,"Amstrad CPC, ZX Spectrum",racing video game
7554,2011-12-16,Microsoft Windows,first-person shooter
7th Dragon,2009-03-05,Nintendo DS,role-playing video game
9Dragons,2006-01-01,Microsoft Windows,massively multiplayer online role-playing game
A Boy and His Blob: Trouble on Blobolonia,1990-01-01,Nintendo Entertainment System,"Metroidvania, puzzle video game"
A Mind Forever Voyaging,1985-08-14,"Apple II series, Atari ST, Classic Mac OS, Commodore 128, DOS",interactive fiction
A Question of Sport,1988-01-01,"Amstrad CPC, Atari ST, BBC Micro, Commodore 64, ZX Spectrum","quiz video game, sports video game"
A Second Face,2008-12-23,Microsoft Windows,adventure video game
A Tale in the Desert,2003-01-01,"Microsoft Windows, macOS",massively multiplayer online role-playing game
A Week of Garfield,1989-04-07,Nintendo Entertainment System,"action game, platformer"
A-Jax,1987-01-01,"Amstrad CPC, Commodore 64, DOS, ZX Spectrum, arcade video game",shooter game
A.R.E.S.: Extinction Agenda,2010-12-14,"Microsoft Windows, Xbox One","action game, platformer, science fiction video game"
A.S.P. Air Strike Patrol,1994-02-18,Super Nintendo Entertainment System,shoot 'em up
A2 Racer II,1998-01-01,Microsoft Windows,racing video game
AGEOD's American Civil War,2007-06-26,"Microsoft Windows, macOS",turn-based strategy video game
AGON,2003-01-01,"Microsoft Windows, macOS",adventure video game
AI Shogi 3,1998-01-01,Nintendo 64,puzzle video game
